"PBI ID","PBI Title","Product","Task ID","Task Title","Task Assignee","Link Classification","Test Case ID","Test Case Title","Suite Path","Suite ID","Outcome","Tester Clean","Note"
"2804487","[PERF] Costpoint: 2026.3: Feat 1532912 MU Phase 2 - ORA","Costpoint","2702871","[PERF] Costpoint: 2026.3: Feat 1532912 MU Phase 2 - ORA - Scripting","Almar Matira","Tests (correct)","2709583","[QTR] CJOBS_009_PJMPYCST","2026.3 MUPH2 Feature Flag = ON - ORA","2728339","Failed","Almar Matira",""
"2804489","[PERF] Costpoint: 2026.3: Feat 1532912 MU Phase 2 - MSS","Costpoint","2728596","[PERF] Costpoint: 2026.3: Feat 1532912 MU Phase 2 MSS: - Scripting","Almar Matira","Tests (correct)","2709583","[QTR] CJOBS_009_PJMPYCST","2026.3 MUPH2 Feature Flag = ON - ORA","2728339","Failed","Almar Matira",""
"2712978","[PERF] Costpoint: 2026.3: MSS: Quarterly Release Performance Test","Costpoint","2728643","[PERF] Costpoint: 2026.3: Quarterly Release Performance MSS - Test Execution","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.3 Quarterly Relase Test - MSS","2728644","Failed","Almar Matira",""
"2712978","[PERF] Costpoint: 2026.3: MSS: Quarterly Release Performance Test","Costpoint","2728643","[PERF] Costpoint: 2026.3: Quarterly Release Performance MSS - Test Execution","Almar Matira","Tests (correct)","2709570","[QTR] CJOBS_002_PJPLDRAT","2026.3 MUPH2 Feature Flag = ON - MSS","2728645","Failed","Almar Matira",""
"2712978","[PERF] Costpoint: 2026.3: MSS: Quarterly Release Performance Test","Costpoint","2728643","[PERF] Costpoint: 2026.3: Quarterly Release Performance MSS - Test Execution","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.3 MUPH2 Feature Flag = ON - MSS","2728645","Blocked","Almar Matira",""
"2737376","[PERF] Costpoint: 2026.3: Consulting: Parsons Timesheet Performance Test","Costpoint","2737378","[PERF] Costpoint: 2026.3: Parsons Timesheet Performance Test - Test Execution","Almar Matira","Tests (correct)","2743974","Parsons Weekly Timesheet - Friday Submission 5 Line","2026.3 Parsons Timesheet Performance (1 hour window)","2740680","Failed","Almar Matira",""
"2737376","[PERF] Costpoint: 2026.3: Consulting: Parsons Timesheet Performance Test","Costpoint","2737378","[PERF] Costpoint: 2026.3: Parsons Timesheet Performance Test - Test Execution","Almar Matira","Tests (correct)","2743974","Parsons Weekly Timesheet - Friday Submission 5 Line","2026.3 Parsons Timesheet Performance (1vu every 3 seconds) - Run 2","2832677","Failed","Almar Matira",""
"2737376","[PERF] Costpoint: 2026.3: Consulting: Parsons Timesheet Performance Test","Costpoint","2737394","[PERF] Costpoint: 2026.3: Parsons Timesheet Performance Test - Scripting","Almar Matira","Tests (correct)","2743974","Parsons Weekly Timesheet - Friday Submission 5 Line","2026.3 Parsons Timesheet Performance (1 hour window)","2740680","Failed","Almar Matira",""
"2737376","[PERF] Costpoint: 2026.3: Consulting: Parsons Timesheet Performance Test","Costpoint","2737394","[PERF] Costpoint: 2026.3: Parsons Timesheet Performance Test - Scripting","Almar Matira","Tests (correct)","2743974","Parsons Weekly Timesheet - Friday Submission 5 Line","2026.3 Parsons Timesheet Performance (1vu every 3 seconds) - Run 2","2832677","Failed","Almar Matira",""
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Costpoint","2745746","[PERF] Costpoint: 2026.3: Oracle 26ai Performance Test - Scripting","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.3 MUPH2 Feature Flag = ON - MSS","2728645","Blocked","Almar Matira",""
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Costpoint","2745746","[PERF] Costpoint: 2026.3: Oracle 26ai Performance Test - Scripting","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.3 Quarterly Relase Test - MSS","2728644","Failed","Almar Matira",""
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Costpoint","2745746","[PERF] Costpoint: 2026.3: Oracle 26ai Performance Test - Scripting","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.3 DeltekDev Rollback","2804481","Blocked","Almar Matira",""
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Costpoint","2745746","[PERF] Costpoint: 2026.3: Oracle 26ai Performance Test - Scripting","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.4 MU | OFF = 2308013 (Ph1), OFF = 1532912 (Ph2) - MSS","2855635","Blocked","Almar Matira",""
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Costpoint","2745746","[PERF] Costpoint: 2026.3: Oracle 26ai Performance Test - Scripting","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.4 MU | OFF = 2308013 (Ph1), OFF = 1532912 (Ph2) - ORA","2855633","Blocked","Almar Matira",""
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Costpoint","2745746","[PERF] Costpoint: 2026.3: Oracle 26ai Performance Test - Scripting","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.4 MU | ON = 2308013 (Ph1), OFF = 1532912 (Ph2) - MSS","2855632","Blocked","Almar Matira",""
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Costpoint","2745746","[PERF] Costpoint: 2026.3: Oracle 26ai Performance Test - Scripting","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.4 MU | ON = 2308013 (Ph1), ON = 1532912 (Ph2) - MSS","2855629","Blocked","Almar Matira",""
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Costpoint","2745746","[PERF] Costpoint: 2026.3: Oracle 26ai Performance Test - Scripting","Almar Matira","Tests (correct)","2709600","[QTR] CJOBS_013_PJRPROJ","2026.4 MU | ON = 2308013 (Ph1), ON = 1532912 (Ph2) - ORA","2855625","Blocked","Almar Matira",""
"2804478","[PERF] Costpoint: 2026.3: Oracle 19c OnPremise Performance Test","Costpoint","2806743","[PERF] Costpoint: 2026.3: Oracle 19c OnPremise Performance Test - Scripting","Almar Matira","Tests (correct)","2709570","[QTR] CJOBS_002_PJPLDRAT","2026.3 MUPH2 Feature Flag = ON - MSS","2728645","Failed","Almar Matira",""
