"PBI ID","PBI Title","PBI State","Start","Target","Testers","Total Test Cases","Passed","Failed","Blocked","Not Applicable","Unspecified (never run)","Run Rate %","Pass Rate % (of run)","Link Type Mistakes"
"2804487","[PERF] Costpoint: 2026.3: Feat 1532912 MU Phase 2 - ORA","Done","2026-07-15","2026-09-30","Almar Matira","98","90","3","0","0","5","94.9","96.8","0"
"2702921","[PERF] Costpoint: 2026.3: ORA: Quarterly Release Performance Test","Done","2026-06-03","2026-09-30","Almar Matira","33","18","0","0","15","0","100.0","54.5","0"
"2804489","[PERF] Costpoint: 2026.3: Feat 1532912 MU Phase 2 - MSS","Done","2026-07-15","2026-07-30","Almar Matira","98","90","2","1","0","5","94.9","96.8","0"
"2712978","[PERF] Costpoint: 2026.3: MSS: Quarterly Release Performance Test","Done","2026-06-10","2026-09-30","Almar Matira","267","229","6","8","11","13","95.1","90.2","0"
"2737376","[PERF] Costpoint: 2026.3: Consulting: Parsons Timesheet Performance Test","In Testing","2026-06-25","2026-09-30","Almar Matira","19","11","4","0","0","4","78.9","73.3","0"
"2740867","[PERF] Costpoint: 2026.3: Oracle 26ai OnPremise Performance Test","Done","2026-06-26","2026-09-30","Almar Matira","63","44","1","7","10","1","98.4","71.0","0"
"2804478","[PERF] Costpoint: 2026.3: Oracle 19c OnPremise Performance Test","Done","2026-07-15","2026-09-30","Almar Matira","236","210","4","7","0","15","93.6","95.0","0"
"2814213","[PERF] Costpoint: LR to JMeter Conversion","In Testing","2026-07-20","2026-12-30","Almar Matira","361","265","4","7","46","39","89.2","82.3","0"
"2827190","[PERF] Costpoint: 2026.3: ORA: Export Payroll Taxes","Done","2026-07-28","2026-08-31","Almar Matira","30","24","0","0","3","3","90.0","88.9","0"
"2827193","[PERF] Costpoint: 2026.3: MSS: Export Payroll Taxes","Done","2026-07-28","2026-08-31","Almar Matira","30","24","0","0","3","3","90.0","88.9","0"
"2827933","[PERF] Costpoint: 2026.3: Quarterly Performance Test - OCI","Done","2026-07-29","2026-09-30","Almar Matira","68","31","0","0","31","6","91.2","50.0","0"
"2848977","[PERF] TIP UI Level Performance Testing POC","Done","2026-08-17","2026-08-31","Almar Matira","2","2","0","0","0","0","100.0","100.0","0"
"2855586","[PERF] Costpoint: 2026.4: Feature 1532912 Compute Revenue Performance - Multicurrency - Revenue for Billing Currency PSR Phase 2 (ORA)","Done","2026-08-24","2026-09-04","Almar Matira","39","37","0","2","0","0","100.0","94.9","0"
"2855589","[PERF] Costpoint: 2026.4: Feature 1532912 Compute Revenue Performance - Multicurrency - Revenue for Billing Currency PSR Phase 2 (MSS)","Done","2026-08-24","2026-09-11","Almar Matira","39","36","0","3","0","0","100.0","92.3","0"
"2865693","[PERF] Costpoint: 2026.4: Quarterly Release Performance Test ORA","Done","2026-09-02","2026-09-30","Almar Matira","16","16","0","0","0","0","100.0","100.0","0"
"2865696","[PERF] Costpoint: 2026.4: Quarterly Release Performance Test MSS","Done","2026-09-02","2026-09-30","Almar Matira","16","16","0","0","0","0","100.0","100.0","0"
"2871247","[PERF] Costpoint: 2026.3: RNT 260817-000570","In Testing","2026-09-09","2026-09-30","Almar Matira","1","0","0","0","0","1","0.0","N/A","0"
"2748618","[PERF] Acumen Touchstone:8.11: 2026.3: SQL: Performance Test","In Testing","2026-07-01","2026-09-18","Joseph Estrella","42","31","1","0","0","10","76.2","96.9","0"
"2748614","[PERF] Acumen Touchstone:8.12: 2026.3: SQL: Performance Test","In Testing","2026-07-01","2026-09-18","Joseph Estrella","42","27","2","0","0","13","69.0","93.1","0"
"2748612","[PERF] Acumen Touchstone:8.12: 2026.3: ORA: Performance Test","In Testing","2026-07-01","2026-09-18","Joseph Estrella","42","31","1","0","0","10","76.2","96.9","0"
"2748611","[PERF] Acumen Touchstone:8.11: 2026.3: ORA: Performance Test","In Testing","2026-07-01","2026-09-18","Joseph Estrella","42","31","1","0","0","10","76.2","96.9","0"
"2748606","[PERF] ComputerEase: 2026.2 AWS Migration Citrix Performance Test","Done","2026-07-01","2026-08-28","Joseph Estrella","38","34","0","0","0","4","89.5","100.0","0"
"2748597","[PERF] Cobra REST: 2026.2: ORA: API Performance Test","In Testing","2026-07-01","2026-08-28","Joseph Estrella","350","200","0","0","0","150","57.1","100.0","0"
"2748583","[PERF] Acumen: 8.12 R1: 2026.2: Quarterly Release Performance Test","Done","2026-07-01","","Joseph Estrella","58","44","0","0","0","14","75.9","100.0","0"
"2748593","[PERF] Acumen: 8.11 R1: 2026.2: Quarterly Release Performance Test","Done","2026-07-01","","Joseph Estrella","50","38","0","0","0","12","76.0","100.0","0"
"2748595","[PERF] Cobra: 8.8: 2026.3: ORA Quarterly Release Performance Test","In Testing","2026-07-01","2026-09-18","Joseph Estrella","204","134","2","0","0","68","66.7","98.5","136"
"2748604","[PERF] Cobra REST: 2026.2: SQL: API Performance Test","In Testing","2026-07-01","2026-08-28","Joseph Estrella","100","0","0","0","0","100","0.0","N/A","0"
"2748623","[PERF] Specpoint: 2026.3: Sprint 10 Regression Performance Test","Done","2026-07-01","2026-08-21","Joseph Estrella","13","12","0","0","0","1","92.3","100.0","0"
"2788739","[PERF] Acumen: 8.12 R2: 2026.2: Quarterly Release Performance Test","Done","2026-07-08","","Joseph Estrella","63","47","0","0","0","16","74.6","100.0","0"
"2788737","[PERF] Acumen: 8.11 R2: 2026.2: Quarterly Release Performance Test","Done","2026-07-08","","Joseph Estrella","53","41","0","0","0","12","77.4","100.0","0"
