"WorkItemId","RevisionDate","OldValue","NewValue"
"2737378","2026-08-26T03:12:52.137Z","","50.0"
"2737378","2026-08-26T03:13:01.95Z","50.0","20.0"
"2737394","2026-08-26T03:12:36.38Z","","100.0"
"2737394","2026-08-26T03:13:13.757Z","100.0","40.0"
"2748631","2026-09-09T01:42:38.097Z","","36.0"
"2748631","2026-09-15T00:09:51.76Z","36.0",""
"2748638","2026-09-09T01:49:59.603Z","","480.0"
"2748642","2026-09-15T00:26:57.183Z","","12.0"
"2748655","2026-09-09T01:40:09.987Z","","8.0"
"2748658","2026-09-09T01:40:56.713Z","","8.0"
"2748661","2026-09-09T01:41:43.313Z","","24.0"
"2748663","2026-09-09T01:43:26.16Z","","52.0"
"2748667","2026-09-09T01:51:26.76Z","","8.0"
"2748671","2026-09-09T01:50:57.5Z","","40.0"
"2750331","2026-09-09T01:41:55.973Z","","24.0"
"2750331","2026-09-10T04:56:27.647Z","24.0","40.0"
"2750331","2026-09-15T01:53:50.08Z","40.0","8.0"
"2750332","2026-09-09T01:42:04.337Z","","32.0"
"2750332","2026-09-09T01:46:02.683Z","32.0","40.0"
"2750332","2026-09-15T01:56:01.743Z","40.0","8.0"
"2817143","2026-09-15T00:30:07.333Z","","12.0"
"2817144","2026-09-09T01:51:55.117Z","","8.0"
"2824776","2026-09-09T01:37:04.337Z","","16.0"
"2824776","2026-09-09T01:39:02.39Z","16.0","32.0"
"2824776","2026-09-09T01:40:37.46Z","32.0","24.0"
"2824776","2026-09-09T01:41:39.463Z","24.0","40.0"
"2824776","2026-09-10T04:56:56.937Z","40.0","80.0"
"2824777","2026-09-09T01:39:56.827Z","","32.0"
"2824777","2026-09-09T01:41:45.647Z","32.0","40.0"
"2824777","2026-09-10T04:57:15.413Z","40.0","120.0"
"2824777","2026-09-15T01:54:48.23Z","120.0","80.0"
"2824777","2026-09-15T01:55:27.31Z","80.0","40.0"
"2826651","2026-08-26T03:11:46.95Z","","80.0"
"2826651","2026-09-01T06:57:12.48Z","80.0","78.0"
"2826651","2026-09-10T02:56:41.637Z","78.0","70.0"
"2831364","2026-09-09T01:42:14.53Z","","8.0"
"2831364","2026-09-09T01:42:29.417Z","8.0","4.0"
"2832461","2026-09-09T01:45:20.193Z","","24.0"
"2832462","2026-09-09T01:45:52.577Z","","40.0"
"2832464","2026-09-09T01:46:55.73Z","","28.0"
"2832466","2026-09-09T01:47:17.673Z","","40.0"
"2848985","2026-08-26T03:07:49.957Z","","18.0"
"2848985","2026-09-01T01:37:59.007Z","18.0",""
"2851350","2026-09-09T01:42:22.88Z","","8.0"
"2855587","2026-08-26T02:13:09.203Z","","36.0"
"2855587","2026-09-02T03:58:30.267Z","36.0","8.0"
"2855587","2026-09-15T00:11:27.363Z","8.0",""
"2855591","2026-08-26T03:07:01.163Z","","36.0"
"2855591","2026-09-02T03:58:50.547Z","36.0","14.0"
"2855591","2026-09-04T01:15:42.217Z","14.0","0.0"
"2855591","2026-09-04T01:37:35.93Z","0.0",""
"2865695","2026-09-02T04:03:33.907Z","","40.0"
"2865695","2026-09-04T00:58:56.033Z","40.0","32.0"
"2865695","2026-09-04T01:16:14.66Z","32.0","12.0"
"2865695","2026-09-04T01:16:32.22Z","12.0","32.0"
"2865695","2026-09-09T00:01:59.293Z","32.0",""
"2865697","2026-09-02T04:06:16.897Z","","32.0"
"2865697","2026-09-09T00:03:30.797Z","32.0","16.0"
"2865697","2026-09-14T09:41:42.157Z","16.0",""
"2871248","2026-09-09T00:13:27.39Z","","8.0"
"2871249","2026-09-09T00:13:37.657Z","","8.0"
"2871266","2026-09-09T01:52:35.203Z","","4.0"
"2871266","2026-09-15T00:35:32.597Z","4.0",""
"2871267","2026-09-09T01:52:29.193Z","","8.0"
"2871270","2026-09-09T01:53:35.393Z","","24.0"
"2871271","2026-09-09T01:53:11.62Z","","40.0"
"2871271","2026-09-09T01:54:10.65Z","40.0","24.0"
"2871288","2026-09-15T00:07:19.37Z","","120.0"
"2879232","2026-09-16T10:53:45.41Z","","32.0"
