"TestCaseId","RevisionDate","OldState","NewState"
"2702872","2026-06-03T01:06:40.563Z","","Design"
"2702877","2026-06-03T01:22:57.46Z","","Design"
"2702877","2026-06-10T13:59:46.067Z","Design","Closed"
"2702877","2026-06-14T05:27:50.43Z","Closed","Design"
"2702914","2026-06-03T02:08:42.847Z","","Design"
"2702914","2026-07-24T03:18:11.08Z","Design","Ready"
"2702915","2026-06-03T02:08:55.48Z","","Design"
"2702915","2026-07-21T00:36:08.9Z","Design","Ready"
"2709567","2026-06-08T12:06:59.32Z","","Design"
"2709567","2026-06-10T02:09:22.79Z","Design","Ready"
"2709567","2026-06-10T02:09:38.087Z","Ready","Design"
"2709567","2026-07-21T00:36:16.237Z","Design","Ready"
"2709570","2026-06-08T12:09:12.1Z","","Design"
"2709570","2026-07-21T00:36:22.587Z","Design","Ready"
"2709571","2026-06-08T12:10:25.17Z","","Design"
"2709571","2026-07-21T00:36:26.897Z","Design","Ready"
"2709573","2026-06-08T12:11:21.567Z","","Design"
"2709573","2026-07-21T00:36:31.077Z","Design","Ready"
"2709579","2026-06-08T12:12:31.687Z","","Design"
"2709579","2026-07-21T00:36:36.2Z","Design","Ready"
"2709582","2026-06-08T12:13:17.93Z","","Design"
"2709582","2026-07-21T00:36:40.917Z","Design","Ready"
"2709583","2026-06-08T12:14:12.717Z","","Design"
"2709583","2026-07-21T00:36:46.247Z","Design","Ready"
"2709586","2026-06-08T12:14:58.17Z","","Design"
"2709586","2026-07-21T00:36:51.433Z","Design","Ready"
"2709589","2026-06-08T12:16:19.497Z","","Design"
"2709589","2026-07-21T00:36:57.863Z","Design","Ready"
"2709597","2026-06-08T12:17:30.113Z","","Design"
"2709597","2026-07-21T00:37:06.833Z","Design","Ready"
"2709600","2026-06-08T12:18:35.233Z","","Design"
"2709600","2026-07-21T00:37:18.31Z","Design","Ready"
"2712973","2026-06-10T02:39:52.413Z","","Design"
"2712973","2026-07-28T06:12:06.83Z","Design","Ready"
"2719281","2026-06-14T07:55:40.113Z","","Design"
"2719281","2026-06-15T00:39:35.09Z","Design","Ready"
"2719281","2026-07-28T06:13:06.64Z","Ready","Design"
"2719282","2026-06-14T07:55:42.16Z","","Design"
"2719282","2026-07-28T06:12:43.837Z","Design","Ready"
"2719283","2026-06-14T07:55:42.293Z","","Design"
"2719284","2026-06-14T07:55:42.38Z","","Design"
"2719285","2026-06-14T07:55:42.467Z","","Design"
"2719285","2026-07-28T06:13:16.313Z","Design","Ready"
"2719286","2026-06-14T07:55:42.573Z","","Design"
"2719286","2026-07-28T06:12:14.957Z","Design","Ready"
"2719287","2026-06-14T07:55:42.66Z","","Design"
